CustomerCode,CustomerName,LocationCode,Address
32HD,HD LASER TECH,,
32HIHG,HI-HOG FARM & RANCH EQUIP LTD.,,
32HILL,HUTTERIAN BRETHREN-HILLVIEW,,
32HORZ,HORIZON HEATING LTD,,
32HSI,HIGH STANDARD INSTALLATION LTD,,
32HUTP,HUTTERIAN BRETHREN-PLAINVIEW,,
32HVH,"HILLVIEW HOLDINGS INC, HILLVI-",,
32ICE,ICE WESTERN SALES LTD,,
32IF,INTEGRITY FABRICATION (O/A),,
32IGLO,IGLOO ERECTORS LTD,,
32IMS,IMS INNOVATIVE MFG SOURCE INC,,
32INDC,INDUS. WATERPROOF SYS LTD-CALG,,
32IRON,IRON EAGLE SHEET METAL,,
32ISOL,ISOLOC ~COD,,
32J&A5,"J & A 5"" EAVESTROUGH LTD",,
32JACK,JACKSON HEATING & A/C LTD,,
32JAG,JAG INDUSTRIES INC ~ COD,,
32JAS,J.A.S. INDUSTRIAL SERVICE &,,
32JAY,JAY'S METALS LTD,,
32JENN,JENNER COLONY FARMING CO LTD,,
32JKL,JKL MASONRY CONSTRUCTION LTD,,
32KB,KB HEATING & A/C LTD,,
32KHAC,KODIAK HEATING & A/C,,
32LAKE,LAKESIDE COLONY FARMING,,
32LASR,LASER EQUATION (OPERATIONS) LT,,
32LAWS,LAW'S CLASSING WELDING (DBA),,
32LMMW,LITTLE MONKEY M/WORKS ~ COD,,
32LONE,LONE PINE COLONY,,
32LYNN,LYNNWOOD ROOFING (1991) INC,,
32MADD,MADD HADDER CLADDER INC,,
32MAF,METAL ALLOY FABRICATION LTD,,
32MAMM,MAMMOTH METALS,,
32MARL,GREAT NORTHERN PLUMBING INC,,
32MART,MARTINEAU ROOFING         ***,,
32MAY,MAYCITY ROLLING MILLS LTD,,
32MB,METAL BEND INC,,
32MCM,MCMULLEN'S REFRIG & HTNG ~COD,,
32MERC,MERCEDES AND SINGH (DBA),,
32MERI,MERIDIAN AGRICULTURE CO LTD,,
32MESU,METAL SUPERMARKETS - CALGARY,,
32META,METAL ROOFING & SIDING EXPERTS,,
32METH,HAT METAL MART,,
32METL,METAL MART LETHBRIDGE,,
32METR,METROPOLIS FACADES INC,,
32MFRM,METAL FORM IND (2006) INC,,
32MIAL,MIALTA FARMING CO LTD,,
32MIAM,MIAMI COLONY FARMING CO LTD,,
32MIDW,MIDWEST AGRICULTURAL CO LTD,,
32MILO,MILO ELECTRIC & PLUMBING LTD,,
32MILT,MILTOW FARMING CO LTD,,
32MMRF,METAL MAX ROLL FORMING,,
32MOD,MODERN METAL PRODUCTS LTD,,
32MODC,MODERN NIAGARA ALBERTA INC-CLG,,
32MODU,MODUS STRUCTURES INC,,
32MTN,MOUNTAIN METALS ~COD,,
32MUST,MUSTANG TRAILERS LTD,,
32MWRK,METALWORKS CANADA LTD,,
32NEF,NEW ELM FARMING,,
32NEWB,NEWBY ENTERPRISES LTD,,
32NEWE,NEWELL COLONY,,
32NORS,NORSEMAN METAL SUPPLY LTD,,
32NOSE,NOSE CREEK METALS INC,,
32NUMU,NU-MUN CONTRACTING LTD ~COD,,
32NY,NEW YORK FARMING,,
32OLDE,OLD ELM FARMING CO LTD,,
32OPT,OPTIMUM MFG,,
32OUTL,OUTLAW EAGLE MANUFACTURING LTD,,
32PAD,PAD-CAR MECHANICAL LTD,,
32PARA,PARAGON VENTILATION (CALG) LTD,,
32PEDD,PEDDIE ROOFING & WATERPROOFING,,
32PEEK,PEEKS HEATING & A/C LTD,,
32PEER,PEERLESS BUILDINGS PROD   ***,,
32PK,PARKER JOHNSTON IND (AB) LTD,,
32PLAT,PLATO'S SUPERIOR ROOFING LTD,,
32PMT,PRECISION MOUNTING TECH LTD,,
32PPSS,PROFESSIONAL PIPE & STEEL SAL-,,
32PRIC,PRICE MFG CORP,,
32PROB,PRO BUILDING SUPPLIES INC,,
32PROC,PROLOGIC CONTROLS LTD.,,
32QUST,QUEST FABRICATION,,
32RBUD,ROSEBUD COLONY,,
32RCL,RCL METALWORKS INC,,
32REGG,REGGIN INDUSTRIES INC,,
32REM,REMSTAR ROOFING ~COD,,
32REV,REV ENGINEERING LTD,,
32RIVE,RIVERBEND COLONY FARMS LTD,,
32RODO,RODONO INDUSTRIES LTD,,
32RODS,RODS N RESTOS,,
32ROLC,ROLCO ROLLSHUTTERS 2019 INC,,
